Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
20/06/2023,1.00,2.41%,41.60,42.50,41.60,42.50,42.19,"3,868,200","164,542,323"
19/06/2023,0.15,0.36%,41.35,41.70,41.10,41.50,41.38,"2,986,700","125,080,555"
16/06/2023,-0.35,-0.84%,41.95,42.30,41.15,41.35,41.92,"5,147,000","216,808,658"
15/06/2023,-0.35,-0.83%,42.05,42.40,41.45,41.70,41.82,"3,600,700","151,977,231"
14/06/2023,-0.95,-2.21%,43.00,43.00,42.05,42.05,42.45,"3,831,500","163,808,490"
13/06/2023,0.00,0.00%,43.40,43.40,42.60,43.00,42.92,"4,493,800","193,907,077"
12/06/2023,1.60,3.86%,41.65,43.00,41.50,43.00,42.27,"7,248,100","306,372,186"
09/06/2023,0.75,1.85%,41.00,41.40,40.50,41.40,40.93,"4,393,100","180,154,671"
08/06/2023,-1.15,-2.75%,42.00,42.00,40.60,40.65,41.18,"4,677,900","193,025,881"
07/06/2023,0.00,0.00%,41.80,41.95,41.05,41.80,41.58,"5,520,800","230,706,351"
06/06/2023,0.60,1.46%,41.20,42.05,41.05,41.80,41.61,"4,890,500","204,045,863"
05/06/2023,0.40,0.98%,41.00,41.60,40.80,41.20,41.14,"6,786,200","279,383,046"
02/06/2023,1.50,3.82%,39.45,40.85,39.20,40.80,39.90,"6,117,900","244,670,925"
01/06/2023,0.10,0.26%,39.35,39.50,38.70,39.30,39.02,"4,522,900","178,664,086"
31/05/2023,-0.20,-0.51%,39.30,39.45,38.95,39.20,39.29,"1,995,100","78,411,304"
30/05/2023,0.70,1.81%,38.85,39.80,38.85,39.40,39.31,"4,840,001","190,287,160"
29/05/2023,0.50,1.31%,38.45,38.70,38.15,38.70,38.43,"3,747,700","146,516,164"
26/05/2023,0.20,0.53%,38.05,38.40,38.00,38.20,38.11,"2,342,500","90,772,777"
25/05/2023,0.05,0.13%,37.95,38.40,37.80,38.00,37.97,"2,910,600","112,104,436"
24/05/2023,-0.30,-0.78%,38.40,38.45,37.90,37.95,38.11,"2,884,600","112,027,759"
23/05/2023,-0.30,-0.78%,38.65,38.80,38.20,38.25,38.42,"2,536,000","98,835,944"
22/05/2023,0.25,0.65%,38.35,38.65,38.05,38.55,38.38,"1,548,200","59,450,743"
19/05/2023,0.20,0.52%,38.10,38.30,37.80,38.30,37.96,"1,643,100","62,372,783"
18/05/2023,-0.05,-0.13%,38.55,38.70,38.10,38.10,38.28,"2,874,600","110,943,462"
17/05/2023,-0.30,-0.78%,38.45,38.65,37.95,38.15,38.33,"1,326,900","50,853,642"
16/05/2023,-0.45,-1.16%,38.90,38.95,38.20,38.45,38.61,"2,419,200","93,928,600"
15/05/2023,-0.10,-0.26%,39.15,39.40,38.85,38.90,39.08,"2,862,401","111,970,817"
12/05/2023,0.30,0.78%,38.75,39.10,38.20,39.00,38.61,"2,033,800","78,519,100"
11/05/2023,-0.30,-0.77%,39.15,39.35,38.55,38.70,38.83,"2,259,300","88,659,928"
10/05/2023,1.05,2.77%,38.05,39.00,37.90,39.00,38.41,"3,131,601","120,804,262"
09/05/2023,0.10,0.26%,37.85,38.35,37.85,37.95,37.95,"981,101","37,098,683"
08/05/2023,0.05,0.13%,37.80,38.25,37.80,37.85,37.97,"1,349,200","51,321,420"
05/05/2023,-0.10,-0.26%,37.90,38.10,37.65,37.80,37.88,"3,642,600","140,884,254"
04/05/2023,-1.30,-3.32%,38.10,38.90,37.90,37.90,38.11,"4,080,400","158,704,392"
28/04/2023,0.55,1.42%,38.65,39.20,38.60,39.20,38.97,"5,603,700","220,967,820"
27/04/2023,0.25,0.65%,38.50,38.65,38.15,38.65,38.44,"1,286,400","49,455,494"
26/04/2023,0.70,1.86%,37.70,38.40,37.65,38.40,37.97,"1,885,600","71,626,775"
25/04/2023,-0.70,-1.82%,38.60,38.80,37.50,37.70,38.02,"4,201,356","160,980,233"
24/04/2023,-0.90,-2.29%,39.20,39.30,38.25,38.40,38.50,"5,278,200","208,913,070"
21/04/2023,-1.10,-2.72%,40.40,40.40,39.30,39.30,39.62,"3,295,500","131,847,458"
20/04/2023,-0.10,-0.25%,40.50,40.50,39.90,40.40,40.16,"2,496,200","102,800,823"
19/04/2023,0.55,1.38%,40.05,41.30,40.00,40.50,40.73,"3,644,500","149,217,366"
18/04/2023,0.10,0.25%,40.55,40.75,39.95,39.95,40.32,"3,630,700","147,715,167"
17/04/2023,-0.15,-0.37%,39.85,40.00,39.55,39.85,39.78,"1,871,300","75,456,393"
14/04/2023,-1.05,-2.56%,41.25,41.40,40.00,40.00,40.62,"2,679,300","108,826,441"
13/04/2023,0.30,0.74%,41.00,41.30,40.65,41.05,40.96,"3,716,000","153,697,981"
12/04/2023,0.05,0.12%,40.50,41.70,40.50,40.75,41.07,"5,666,500","236,849,067"
11/04/2023,-0.30,-0.73%,41.00,41.00,40.20,40.70,40.54,"5,749,500","242,682,734"
10/04/2023,2.00,5.13%,39.20,41.15,39.20,41.00,40.65,"11,233,372","462,337,150"
07/04/2023,-0.10,-0.26%,38.85,39.05,38.50,39.00,38.79,"2,661,000","105,114,443"
06/04/2023,-0.65,-1.64%,40.00,40.00,39.05,39.10,39.59,"2,531,100","101,825,765"
05/04/2023,-0.05,-0.13%,39.80,39.85,39.50,39.75,39.66,"1,735,900","68,838,243"
04/04/2023,0.80,2.05%,39.10,39.95,39.05,39.80,39.62,"3,133,300","124,141,722"
03/04/2023,0.45,1.17%,39.00,39.20,38.70,39.00,38.91,"3,185,100","126,398,746"
31/03/2023,-0.05,-0.13%,38.55,38.95,38.25,38.55,38.65,"3,474,400","138,678,087"
30/03/2023,-0.10,-0.26%,38.80,39.20,38.15,38.60,38.69,"6,491,100","261,385,058"
29/03/2023,-0.40,-1.02%,39.25,39.35,38.70,38.70,38.98,"3,006,304","120,511,183"
28/03/2023,1.00,2.62%,38.20,39.30,38.10,39.10,38.97,"5,829,700","229,921,732"
27/03/2023,0.15,0.40%,38.00,38.45,37.85,38.10,38.13,"3,170,100","122,613,541"
24/03/2023,0.15,0.40%,37.60,38.20,37.60,37.95,37.91,"2,964,900","115,468,501"
23/03/2023,-0.15,-0.40%,37.60,37.95,37.50,37.80,37.73,"2,890,500","113,804,311"
22/03/2023,-0.55,-1.43%,38.65,38.65,37.95,37.95,38.08,"2,637,000","103,886,482"
21/03/2023,0.40,1.05%,38.80,38.80,37.50,38.50,38.15,"3,378,100","133,988,181"
20/03/2023,-1.30,-3.30%,39.00,39.40,38.05,38.10,38.44,"3,288,800","130,102,745"
17/03/2023,0.00,0.00%,39.90,39.90,38.85,39.40,39.29,"1,372,278","55,109,272"
16/03/2023,-0.60,-1.50%,40.00,40.00,38.80,39.40,39.16,"2,015,000","80,181,300"
