Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
24/08/2022,0.10,0.43%,23.25,23.40,23.15,23.30,23.28,"7,315,600","170,364,912"
23/08/2022,0.10,0.43%,22.80,23.25,22.80,23.20,22.99,"6,729,900","156,386,186"
22/08/2022,0.10,0.43%,23.30,23.45,23.00,23.10,23.25,"10,940,300","254,742,032"
19/08/2022,-0.05,-0.18%,27.70,27.70,27.50,27.60,27.61,"9,175,300","253,298,407"
18/08/2022,-0.10,-0.36%,27.70,27.85,27.55,27.65,27.70,"9,715,514","270,016,500"
17/08/2022,0.50,1.83%,27.30,27.85,27.30,27.75,27.63,"15,804,600","435,894,192"
16/08/2022,-0.10,-0.37%,27.30,27.40,27.15,27.25,27.25,"7,737,900","212,232,298"
15/08/2022,0.30,1.11%,27.30,27.60,27.25,27.35,27.40,"8,729,700","239,315,942"
12/08/2022,0.25,0.93%,26.80,27.10,26.70,27.05,26.88,"7,135,000","194,903,678"
11/08/2022,-0.40,-1.47%,27.45,27.50,26.75,26.80,27.12,"12,298,200","335,637,577"
10/08/2022,-0.15,-0.55%,27.40,27.45,27.10,27.20,27.26,"6,486,700","176,600,947"
09/08/2022,0.25,0.92%,27.40,27.60,27.20,27.35,27.36,"11,481,300","313,886,910"
08/08/2022,0.15,0.56%,27.00,27.20,26.80,27.10,26.99,"10,046,500","271,276,048"
05/08/2022,0.00,0.00%,26.90,26.95,26.55,26.95,26.72,"7,492,000","200,218,980"
04/08/2022,0.05,0.19%,26.95,27.20,26.80,26.95,26.95,"12,912,800","350,144,200"
03/08/2022,0.20,0.75%,26.60,26.90,26.20,26.90,26.64,"10,531,300","279,545,843"
02/08/2022,0.20,0.75%,26.45,26.85,26.30,26.70,26.60,"10,911,500","290,223,313"
01/08/2022,0.85,3.31%,25.70,26.50,25.65,26.50,26.26,"12,265,800","321,913,749"
29/07/2022,0.10,0.39%,25.70,25.75,25.50,25.65,25.63,"10,398,500","265,929,845"
28/07/2022,0.65,2.61%,25.25,25.75,25.10,25.55,25.45,"9,473,500","241,273,400"
27/07/2022,-0.25,-0.99%,25.00,25.10,24.75,24.90,24.85,"6,506,100","162,898,349"
26/07/2022,-0.10,-0.40%,25.25,25.45,25.10,25.15,25.24,"3,728,300","94,208,482"
25/07/2022,-0.30,-1.17%,25.45,25.55,25.20,25.25,25.35,"3,774,800","95,958,521"
22/07/2022,-0.05,-0.20%,25.60,25.90,25.55,25.55,25.74,"7,750,100","200,035,241"
21/07/2022,0.05,0.20%,25.50,25.75,25.50,25.60,25.65,"6,680,900","171,344,307"
20/07/2022,0.35,1.39%,25.50,25.65,25.40,25.55,25.51,"7,281,800","186,191,907"
19/07/2022,-0.20,-0.79%,25.35,25.40,25.00,25.20,25.18,"5,149,500","129,796,555"
18/07/2022,-0.05,-0.20%,25.50,25.70,25.40,25.40,25.52,"7,144,600","184,030,855"
15/07/2022,-0.05,-0.20%,25.50,25.70,25.40,25.45,25.53,"18,305,100","462,781,698"
14/07/2022,0.20,0.79%,25.15,25.55,25.15,25.50,25.39,"8,647,200","219,870,568"
13/07/2022,0.25,1.00%,25.30,25.75,25.10,25.30,25.42,"10,684,300","270,087,124"
12/07/2022,0.65,2.66%,24.50,25.20,24.35,25.05,24.75,"6,215,800","154,297,830"
11/07/2022,-0.65,-2.59%,24.90,25.05,24.30,24.40,24.58,"10,845,700","263,638,692"
08/07/2022,-0.05,-0.20%,25.30,25.30,24.95,25.05,25.09,"5,992,300","149,963,442"
07/07/2022,0.20,0.80%,24.90,25.35,24.50,25.10,24.93,"6,572,600","163,829,745"
06/07/2022,-0.55,-2.16%,25.00,25.55,24.85,24.90,25.15,"13,220,300","341,359,525"
05/07/2022,0.85,3.46%,24.65,25.80,24.50,25.45,25.20,"23,747,500","603,456,769"
04/07/2022,0.40,1.65%,24.35,24.65,24.10,24.60,24.43,"6,680,300","163,544,748"
01/07/2022,0.00,0.00%,23.75,24.40,23.45,24.20,23.80,"8,241,900","197,451,604"
30/06/2022,-0.50,-2.02%,24.75,24.90,24.20,24.20,24.50,"8,752,100","213,509,257"
29/06/2022,0.00,0.00%,24.55,25.10,24.35,24.70,24.62,"9,959,600","244,373,935"
28/06/2022,0.60,2.49%,23.70,25.20,23.65,24.70,24.35,"14,803,600","360,703,781"
27/06/2022,0.40,1.69%,23.80,24.20,23.60,24.10,23.93,"7,151,500","169,937,748"
24/06/2022,-0.35,-1.46%,24.20,24.20,23.70,23.70,23.91,"3,852,800","92,128,500"
23/06/2022,0.60,2.56%,23.25,24.05,23.25,24.05,23.67,"5,799,300","137,343,435"
22/06/2022,1.00,4.45%,22.65,23.90,22.65,23.45,23.21,"11,852,900","275,831,238"
21/06/2022,-0.05,-0.22%,22.50,22.90,22.05,22.45,22.59,"16,200,400","350,166,037"
20/06/2022,-0.80,-3.43%,23.30,23.65,21.85,22.50,22.79,"9,798,800","223,580,724"
17/06/2022,-1.60,-6.43%,23.65,24.10,23.20,23.30,23.37,"30,982,800","756,544,749"
16/06/2022,0.00,0.00%,25.00,25.40,24.90,24.90,25.12,"7,952,300","200,857,183"
15/06/2022,-0.60,-2.35%,25.25,25.50,24.20,24.90,24.69,"18,315,400","458,994,098"
14/06/2022,-0.15,-0.58%,25.00,25.90,25.00,25.50,25.43,"8,944,900","227,562,584"
13/06/2022,-1.85,-6.73%,26.80,26.80,25.60,25.65,26.08,"18,245,300","482,936,051"
10/06/2022,-0.30,-1.08%,27.50,28.00,27.45,27.50,27.73,"6,314,900","174,795,220"
09/06/2022,-0.15,-0.54%,28.15,28.15,27.50,27.80,27.78,"5,540,200","153,707,499"
08/06/2022,1.00,3.71%,27.20,28.10,26.95,27.95,27.69,"12,131,100","335,856,460"
07/06/2022,-0.30,-1.10%,27.30,27.30,26.40,26.95,26.77,"6,239,200","168,738,064"
06/06/2022,-0.15,-0.55%,27.40,27.55,26.90,27.25,27.29,"6,941,900","189,462,847"
03/06/2022,0.20,0.74%,27.25,27.40,26.65,27.40,27.03,"5,169,400","139,752,610"
02/06/2022,-0.40,-1.45%,27.55,27.85,27.20,27.20,27.51,"6,998,000","193,117,328"
01/06/2022,-0.15,-0.54%,27.60,28.00,27.55,27.60,27.72,"4,563,800","127,751,722"
31/05/2022,-0.35,-1.25%,28.00,28.00,27.50,27.75,27.72,"5,342,900","148,234,932"
30/05/2022,0.10,0.36%,28.25,28.25,27.90,28.10,28.03,"8,318,900","233,563,073"
27/05/2022,0.35,1.27%,27.70,28.15,27.55,28.00,27.91,"8,514,100","237,760,810"
26/05/2022,-0.40,-1.43%,28.30,28.30,27.65,27.65,27.95,"7,690,832","215,470,874"
25/05/2022,1.20,4.47%,27.00,28.25,27.00,28.05,27.62,"11,108,300","306,851,400"
24/05/2022,0.55,2.09%,26.50,26.85,26.15,26.85,26.46,"7,826,733","204,901,122"
23/05/2022,-0.70,-2.59%,27.00,27.10,26.10,26.30,26.52,"9,820,000","255,733,040"
20/05/2022,0.25,0.93%,26.80,27.25,26.60,27.00,26.98,"5,801,800","157,324,465"
19/05/2022,0.10,0.38%,26.20,27.05,26.00,26.75,26.64,"6,315,300","168,393,501"
18/05/2022,0.35,1.33%,26.80,27.50,26.40,26.65,26.91,"8,797,000","236,747,085"
17/05/2022,1.70,6.91%,24.65,26.30,24.55,26.30,25.53,"12,257,400","302,792,679"
16/05/2022,0.50,2.07%,25.20,25.35,24.50,24.60,25.00,"7,532,400","187,926,319"
13/05/2022,-1.55,-6.04%,26.00,26.20,24.10,24.10,25.20,"20,952,100","538,594,768"
12/05/2022,-1.85,-6.73%,27.00,27.30,25.65,25.65,26.26,"14,225,800","386,010,616"
11/05/2022,0.45,1.66%,27.05,27.50,26.70,27.50,27.11,"6,684,300","182,743,303"
10/05/2022,0.85,3.24%,25.80,27.05,25.10,27.05,26.23,"10,941,700","287,100,884"
09/05/2022,-1.80,-6.43%,27.60,27.80,26.15,26.20,26.94,"17,976,400","490,685,218"
06/05/2022,-1.00,-3.45%,28.50,28.80,28.00,28.00,28.43,"8,851,900","251,686,958"
05/05/2022,0.10,0.35%,29.30,29.30,28.25,29.00,28.88,"6,934,400","200,235,586"
04/05/2022,-0.90,-3.02%,29.80,29.85,28.90,28.90,29.25,"7,874,800","230,324,749"
29/04/2022,0.35,1.19%,29.35,29.90,29.30,29.80,29.62,"8,536,800","252,974,724"
28/04/2022,-0.25,-0.84%,29.80,29.90,29.40,29.45,29.64,"6,733,100","200,580,270"
27/04/2022,0.35,1.19%,29.25,29.75,28.85,29.70,29.21,"7,371,506","215,780,403"
26/04/2022,1.25,4.45%,28.00,29.45,27.00,29.35,28.44,"14,781,200","420,379,250"
25/04/2022,-1.90,-6.33%,30.20,30.50,27.90,28.10,29.12,"18,971,230","559,437,219"
22/04/2022,0.00,0.00%,30.30,30.80,29.80,30.00,30.30,"11,453,500","347,064,873"
21/04/2022,0.50,1.69%,29.50,30.55,29.10,30.00,29.92,"12,604,800","377,145,574"
20/04/2022,0.20,0.68%,29.40,30.05,29.15,29.50,29.57,"13,037,400","385,452,556"
19/04/2022,-1.00,-3.30%,30.50,30.85,29.30,29.30,30.20,"13,151,000","398,095,157"
18/04/2022,-1.10,-3.50%,31.30,31.30,30.15,30.30,30.63,"18,692,400","574,934,311"
15/04/2022,-0.90,-2.79%,32.30,32.35,31.30,31.40,31.88,"17,430,600","555,986,176"
14/04/2022,-0.30,-0.92%,32.70,32.90,32.30,32.30,32.55,"7,906,600","257,360,000"
13/04/2022,0.35,1.09%,32.25,32.80,32.20,32.60,32.47,"13,761,000","446,329,874"
12/04/2022,-0.95,-2.86%,33.20,33.25,32.20,32.25,32.67,"15,826,650","518,339,775"
