Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
31/12/2024,-0.20,-1.54%,12.90,13.00,12.80,12.80,12.88,"4,483,400","57,753,880"
30/12/2024,0.00,0.00%,12.80,13.10,12.80,13.00,13.01,"4,634,700","60,314,800"
27/12/2024,0.00,0.00%,12.90,13.20,12.90,13.00,13.07,"4,098,300","53,569,650"
26/12/2024,-0.10,-0.76%,13.10,13.30,13.00,13.00,13.12,"18,690,200","224,851,170"
25/12/2024,0.20,1.55%,12.00,13.40,12.00,13.10,13.16,"8,550,400","112,536,100"
24/12/2024,-0.10,-0.77%,12.00,13.10,12.00,12.90,12.90,"3,502,600","45,191,930"
23/12/2024,0.00,0.00%,13.00,13.20,12.90,13.00,13.02,"3,991,600","51,988,880"
20/12/2024,-0.10,-0.76%,13.00,13.20,12.90,13.00,12.99,"4,559,400","59,235,820"
19/12/2024,-0.20,-1.50%,13.30,13.30,12.90,13.10,13.07,"7,024,600","91,792,690"
18/12/2024,0.00,0.00%,13.00,13.40,13.00,13.30,13.24,"5,388,100","71,238,730"
17/12/2024,0.00,0.00%,13.30,13.40,13.20,13.30,13.31,"2,504,700","33,326,560"
16/12/2024,0.10,0.76%,13.20,13.40,13.20,13.30,13.30,"3,866,600","51,372,520"
13/12/2024,-0.20,-1.49%,13.40,13.40,13.20,13.20,13.30,"3,540,600","47,083,710"
12/12/2024,-0.10,-0.74%,13.00,13.60,13.00,13.40,13.47,"5,107,900","68,819,940"
11/12/2024,0.00,0.00%,13.60,13.70,13.30,13.50,13.52,"8,686,400","117,430,090"
10/12/2024,-0.10,-0.74%,13.50,13.80,13.40,13.50,13.63,"4,592,100","62,588,550"
09/12/2024,0.00,0.00%,13.50,13.90,13.40,13.60,13.71,"5,483,400","75,150,900"
06/12/2024,-0.30,-2.16%,14.00,14.10,13.60,13.60,13.83,"8,254,500","114,161,130"
05/12/2024,1.00,7.75%,12.80,14.00,12.70,13.90,13.41,"17,355,300","232,818,170"
04/12/2024,-0.20,-1.53%,13.00,13.10,12.80,12.90,12.97,"6,241,100","80,960,050"
03/12/2024,-0.10,-0.76%,13.20,13.30,13.10,13.10,13.17,"4,079,400","53,422,080"
02/12/2024,0.00,0.00%,13.20,13.50,13.20,13.20,13.31,"2,352,600","31,313,010"
29/11/2024,0.00,0.00%,13.20,13.30,13.10,13.20,13.20,"3,261,900","43,056,320"
28/11/2024,-0.20,-1.49%,12.10,13.50,12.10,13.20,13.31,"3,563,200","47,429,360"
27/11/2024,0.00,0.00%,12.10,13.50,12.10,13.40,13.31,"3,879,200","51,637,520"
